area	name	address
千代田区	なか卯 東京駅北口店	東京都千代田区丸の内一丁目 7-7
千代田区	なか卯 九段南店	東京都千代田区九段南三丁目 9-11 マートルコート麹町 1F
千代田区	なか卯 秋葉原昭和通り口店	東京都千代田区神田佐久間町 4-1 ベラカーサ秋葉原 102
千代田区	なか卯 神田岩本町店	東京都千代田区神田岩本町 4 神田北辰ビル 1F
千代田区	なか卯 神田須田町店	東京都千代田区神田須田町 1-28 アクア神田ビル
千代田区	なか卯 飯田橋東口店	東京都千代田区飯田橋四丁目 1-1 飯田橋 IS ビル 1F
中央区	なか卯 日本橋二丁目店	東京都中央区日本橋二丁目 9-5 アサヒビル 1F
中央区	なか卯 人形町店	東京都中央区日本橋人形町一丁目 2-5 ERVIC 人形町ビル 1F
中央区	なか卯 小伝馬町店	東京都中央区日本橋小伝馬町 4-1 井門小伝馬町ビル
中央区	なか卯 新日本橋駅前店	東京都中央区日本橋本町一丁目 5-11 ユニゾ日本橋本町一丁目ビル 1F
中央区	なか卯 日本橋本石町店	東京都中央区日本橋本石町三丁目 2-3 日本橋オリーブビル 1F
中央区	なか卯 茅場町店	東京都中央区日本橋茅場町三丁目 1-11 旧大槻機材本社ビル 1F
中央区	なか卯 築地橋店	東京都中央区築地二丁目 1-17 陽光築地ビル 1F
中央区	なか卯 築地二丁目店	東京都中央区築地二丁目 14-1 河瀬ビル
中央区	なか卯 東銀座店	東京都中央区銀座二丁目 11-8 第 22 中央ビル 1F
中央区	なか卯 銀座七丁目店	東京都中央区銀座七丁目 17-12 アソルティ東銀座 1F, 2F
中央区	なか卯 勝どき一丁目店	東京都中央区勝どき一丁目 8-1 勝どきビュータワー 103
中央区	なか卯 八丁堀店	東京都中央区新川一丁目 27-8
港区	なか卯 三田店	東京都港区三田三丁目 9-7 ニキグラスビルディング 1F
港区	なか卯 芝一丁目店	東京都港区芝一丁目 5-11 芝 L’s ビル
港区	なか卯 芝浦店	東京都港区芝浦一丁目 12-7 岡田ビル 1F
港区	なか卯 神谷町店	東京都港区虎ノ門三丁目 7-10 ランディック虎ノ門ビル 1F
港区	なか卯 赤坂溜池店	東京都港区赤坂二丁目 10-9 ラウンドクロス赤坂 1F
港区	なか卯 赤坂七丁目店	東京都港区赤坂七丁目 10-9 赤坂伊藤ビル 1F
港区	なか卯 泉岳寺前店	東京都港区高輪二丁目 16-35 高輪チトセハイツ 1F
新宿区	なか卯 四谷三丁目店	東京都新宿区四谷三丁目 8-4 中央ビルディング 1F
新宿区	なか卯 新宿職安通り店	東京都新宿区歌舞伎町二丁目 41-7 川井ビル
新宿区	なか卯 西新宿店	東京都新宿区西新宿六丁目 10-2
